RELEASE,RELEASE DATES,"TOTAL UNIT
COUNT",TOTAL PARTS,TOTAL UNITS LEFT,STATUS,"PARTS 
FABRICATED","TOTAL 
PARTS",DELTA,SHOP,"% OF 
COMPLETION ","EST. COMPLETION 
DATES",NOTES,
REL-FMG-1.02 [42 Units],6/27/24,42,3384,,COMPLETE IN MILLING,3384,3384,0,,100%,7/19/24,"MISSING 1473 [2], 1474 [2] FROM KM
BPN [113] ON HOLD",
REL-FMG-1.02-FINS,6/27/24,FINS,2552,,COMPLETE IN MILLING,2552,2552,0,,100%,7/19/24,MISSING 631 [45] FROM KM,
REL-FMG-BULK-FINCAPS,7/1/24,CAPS,2340,,COMPLETE IN MILLING,2340,2340,0,,100%,7/19/24,CAPS READY FOR POST PAINT 7/23/24,
REL-FMG-EMB-BAR2-LVL3,7/18/24,EMBEDS,208,,COMPLETE IN MILLING,208,208,0,,100%,8/16/24,SITE,
REL-FMG-SB-EWA-3,7/18/24,SHADOW BOXES,493,,COMPLETE IN MILLING,493,493,0,,100%,11/29/24,707 TO ASSEMBLE,
REL-FMG-1.03 [24 Units],7/18/24,24,1902,,COMPLETE IN MILLING,1902,1902,0,,100%,9/20/24,,
REL-FMG-1.03-FINS,7/18/24,FINS,1295,,COMPLETE IN MILLING,1295,1295,0,,100%,9/20/24,WAITING ON SNOW BUTTONS,
REL-FMG-1.04 (42 Units),7/22/24,42,3286,,COMPLETE IN MILLING,3286,3286,0,,100%,10/11/24,MISSING 1473 [2] FROM KM,
REL-FMG-1.04-FINS,7/22/24,FINS,3297,,COMPLETE IN MILLING,3297,3297,0,,100%,10/11/24,,
REL-FMG-1.02-FOAM,7/25/24,FOAM,616,,COMPLETE IN MILLING,616,616,0,,100%,8/2/24,,
REL-FMG-RIMU6,7/26/24,MOCKUP,55,,COMPLETE IN MILLING,55,55,0,,100%,7/29/24,,
REL-FMG-RIMU7,7/26/24,MOCKUP,89,,COMPLETE IN MILLING,89,89,0,,100%,7/29/24,,
REL-FMG-RIMU8,8/5/24,MOCKUP,38,,COMPLETE IN MILLING,38,38,0,,100%,8/9/24,,
REL-FMG-RIMU9,8/6/24,MOCKUP,17,,COMPLETE IN MILLING,17,17,0,,100%,8/9/24,,
REL-FMG-RIMU7.2,8/12/24,MOCKUP,94,,COMPLETE IN MILLING,94,94,0,,100%,8/14/24,,
REL-FMG-POSTPAINT-BULKBATCH1,8/12/24,BULK,142,,COMPLETE IN MILLING,142,142,0,,100%,9/6/24,,
REL-FMG-1.01 [22 Units],8/12/24,22,1237,,COMPLETE IN MILLING,1237,1237,0,,100%,10/11/24,,
REL-FMG-1.01 FINS,8/12/24,FINS,845,,COMPLETE IN MILLING,845,845,0,,100%,10/11/24,,
REL-FMG-BAR2-PHROOF,8/12/24,EMBEDS,424,,COMPLETE IN MILLING,424,424,0,,100%,8/30/24,SITE,
REL-FMG-1.05,8/12/24,21,1606,,COMPLETE IN MILLING,1606,1606,0,,100%,11/29/24,,
REL-FMG-1.05 FINS,8/12/24,FINS,764,,COMPLETE IN MILLING,764,764,0,,100%,11/29/24,,
REL-FMG-BAR2-PENTHOUSE,8/12/24,EMBEDS,107,,COMPLETE IN MILLING,107,107,0,,100%,8/30/24,SITE,
REL-FMG-BAR2-LVL4,8/12/24,EMBEDS,154,,COMPLETE IN MILLING,154,154,0,,100%,8/23/24,SITE,
REL-FMG-BAR1-LVL4,8/12/24,EMBEDS,437,,COMPLETE IN MILLING,437,437,0,,100%,8/23/24,SITE,
REL-FMG-JIG-TEST,8/13/24,JIG,4,,COMPLETE IN MILLING,4,4,0,,100%,8/16/24,,
REL-FMG-FOAM-BULK-BATCH2,9/10/24,BULK,3086,,COMPLETE IN MILLING,3086,3086,0,,100%,10/11/24,,
REL-FMG-STS-1.01,9/10/24,STARTER SILL,290,,COMPLETE IN MILLING,290,290,0,,100%,11/22/24,MISSING 1607 [25] FROM KM,
REL-FMG-STS-1.07,9/10/24,STARTER SILL,157,,COMPLETE IN MILLING,157,157,0,,100%,11/22/24,MISSING 1607 [13] FROM KM,
REL-FMG-EMB-BAR3-LVL2,9/10/24,EMBEDS,142,,COMPLETE IN MILLING,142,142,0,,100%,10/25/24,SITE,
REL-FMG-EMB-BAR3-LVL3,9/10/24,EMBEDS,132,,COMPLETE IN MILLING,132,132,0,,100%,11/1/24,SITE,
REL-FMG-EMB-BAR4-LVL1,9/10/24,EMBEDS,134,,COMPLETE IN MILLING,134,134,0,,100%,10/25/24,SITE,
REL-FMG-EMB-BAR4-LVL2,9/10/24,EMBEDS,382,,COMPLETE IN MILLING,382,382,0,,100%,10/25/24,SITE,
REL-FMG-EMB-BAR3-LVL4,9/10/24,EMBEDS,148,,COMPLETE IN MILLING,148,148,0,,100%,11/1/24,SITE,
REL-FMG-EMB-BAR4-LVL3,9/10/24,EMBEDS,308,,COMPLETE IN MILLING,308,308,0,,100%,11/1/24,SITE,
REL-FMG-EMB-BAR4-LVL4,9/10/24,EMBEDS,418,,COMPLETE IN MILLING,418,418,0,,100%,11/1/24,SITE,
REL-FMG-MP-FIELDFIX,9/17/24,FIX,50,,COMPLETE IN MILLING,50,50,0,,100%,9/30/24,SITE,
REL-FMG-STS-11.03,9/30/24,STARTER SILL,44,,COMPLETE IN MILLING,44,44,0,,100%,12/27/24,,
REL-FMG-STS-11.01,9/30/24,STARTER SILL,259,,COMPLETE IN MILLING,259,259,0,,100%,12/27/24,,
REL-FMG-STS-11.05,9/30/24,STARTER SILL,165,,COMPLETE IN MILLING,165,165,0,,100%,12/27/24,,
REL-EMBED-STEEL-BAR1-LVL2,9/30/24,EMBEDS,48,,COMPLETE IN MILLING,48,48,0,,100%,10/18/24,SITE,
REL-EMBED-STEEL-BAR2-PENTHOUSE,9/30/24,EMBEDS,33,,COMPLETE IN MILLING,33,33,0,,100%,10/18/24,SITE,
REL-EMBED-STEEL-BAR1-LVL4,9/30/24,EMBEDS,22,,COMPLETE IN MILLING,22,22,0,,100%,10/18/24,SITE,
REL-EMBED-STEEL-BAR1-LVL3,9/30/24,EMBEDS,57,,COMPLETE IN MILLING,57,57,0,,100%,10/18/24,SITE,
REL-EMBED-STEEL-BAR2-LVL2,9/30/24,EMBEDS,47,,COMPLETE IN MILLING,47,47,0,,100%,10/18/24,SITE,
REL-EMBED-STEEL-BAR2-MECH PLATFORM,9/30/24,EMBEDS,377,,COMPLETE IN MILLING,377,377,0,,100%,10/18/24,SITE,
REL-FMG-1.06 [44 Units],9/10/24,44,3246,,COMPLETE IN MILLING,3246,3246,0,,100%,11/22/24,,
REL-FMG-1.06 FINS,10/1/24,FINS,4635,,COMPLETE IN MILLING,4635,4635,0,,100%,11/22/24,,
