RELEASE,RELEASE DATES,"TOTAL UNIT
COUNT",TOTAL UNITS LEFT,STATUS,"PARTS 
FABRICATED","TOTAL 
PARTS",DELTA,SHOP,"% OF 
COMPLETION ","EST. COMPLETION 
DATES",NOTES,
Release | VMU,9/18/23,VMU,,COMPLETE IN MILLING,302,302,0,,100%,,,
Release | VMU - SITE MATERIAL ,10/10/23,VMU,,COMPLETE IN MILLING,93,93,0,,100%,10/17/23,,
Release | STEEL BRACKETS LVL6 - WELDED ON SITE,1/5/24,BRACKETS,,COMPLETE IN MILLING,84,84,0,,100%,1/12/24,,
Release | PMU,1/31/24,PMU,,COMPLETE IN MILLING,165,165,0,,100%,2/9/24,,
Release | LEVEL 02 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,1808,1808,0,,100%,4/19/24,5/1/24,
Release | LEVEL 03 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,3036,3036,0,,100%,5/10/24,,
Release | LEVEL 04 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,2832,2832,0,,100%,5/17/24,5/20/24,
Release | LEVEL 05 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,2878,2878,0,,100%,5/24/24,,
Release | LEVEL 06 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,1135,1135,0,,100%,6/7/24,,
Release | LEVEL 07 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,1564,1564,0,,100%,6/21/24,,
Release | LEVEL 08 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,1796,1796,0,,100%,6/28/24,,
Release | LEVEL 09 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,3177,3177,0,,100%,7/12/24,,
Release | LEVEL 10 TYPICAL EMBED ORDER,2/26/24,EMBEDS,,COMPLETE IN MILLING,2769,2769,0,,100%,7/26/24,,
Release | EMB-001,3/8/24,EMBEDS,,COMPLETE IN MILLING,4,4,0,,100%,,,
